time,flux,object
126.19912735012622,1034810.8,2
126.21956168919132,1034747.8,2
126.23999592819746,1034882.06,2
126.28086470626296,1034859.56,2
126.30129894521087,1034867.3,2
126.3217332842105,1034817.1,2
126.34216772315996,1034919.06,2
126.36260196210787,1034851.9,2
126.38303630104927,1034859.9,2
126.40347073994052,1034804.0,2
126.423905078831,1034848.8,2
126.44433931771346,1034854.5,2
126.46477365654572,1034751.9,2
126.48520809543696,1034733.94,2
126.5056423342612,1034690.6,2
126.52607667303528,1034719.75,2
126.5465109118668,1034614.56,2
126.56694535063434,1034688.25,2
126.5873796894084,1034828.06,2
126.60781402812428,1034726.4,2
126.62824836689106,1034724.56,2
126.64868270554872,1034764.8,2
126.66911704426457,1034760.9,2
126.68955128297966,1034703.4,2
126.7099857216308,1034750.9,2
126.73042006023024,1034692.7,2
126.75085429887986,1034739.5,2
126.77128873748006,1034719.7,2
126.7917230760795,1034694.7,2
126.8121573146782,1034619.9,2
126.83259165321216,1034670.6,2
126.85302609175416,1034629.1,2
126.87346033022914,1034484.1,2
126.89389466877036,1034610.94,2
126.91432910725416,1034592.56,2
126.93476344572991,1034602.44,2
126.95519768415396,1034666.0,2
126.9756320225788,1034705.1,2
126.9960664609971,1034648.1,2
127.01650079936373,1034692.56,2
127.03693503778776,1034518.0,2
127.05736947608966,1034659.8,2
127.07780381445627,1034664.94,2
127.09823805276392,1034621.2,2
127.11867239106503,1034639.4,2
127.139106829316,1034663.6,2
127.1595411676244,1034674.5,2
127.17997540580836,1034696.44,2
127.20040984405932,1034749.1,2
127.22084418225133,1034774.9,2
127.24127842043526,1034704.6,2
127.26171275862724,1034847.6,2
127.2821471967618,1034707.2,2
127.30258143488754,1034710.6,2
127.32301577296312,1034791.0,2
127.34345021109766,1034737.6,2
127.363884449107,1034734.94,2
127.38431878718256,1034727.5,2
127.40475312519992,1034580.75,2
127.42518746321002,1034601.5,2
127.4456218012274,1034690.56,2
127.46605613918656,1034721.0,2
127.486490577081,1034630.3,2
127.50692481503938,1034568.5,2
127.52735915294032,1034643.8,2
127.54779339078232,1034610.6,2
127.56822782867675,1034614.6,2
127.5886621665195,1034590.6,2
127.64996517992404,1034578.56,2
127.67039951764308,1034624.4,2
127.69083375542688,1034578.7,2
127.71126819315396,1034634.56,2
127.7317025308148,1034666.4,2
127.75213676848216,1034638.5,2
127.77257110615028,1034637.4,2
127.79300554375368,1034645.1,2
127.81343978136285,1034614.94,2
127.83387411897274,1034591.8,2
127.85430855651794,1034558.25,2
127.87474279406888,1034657.1,2
128.07908616822533,1034540.2,2
128.09952050553693,1034715.44,2
128.1199548427976,1034466.0,2
128.14038918005826,1034533.1,2
128.16082351731893,1034641.6,2
128.18125785451412,1034562.1,2
128.2016920916576,1034502.3,2
128.22212652885355,1034583.8,2
128.2425608659396,1034581.25,2
128.26299510308309,1034577.9,2
128.2834295401699,1034561.6,2
128.30386387724866,1034532.8,2
128.3242981142757,1034593.2,2
128.36516688826669,1034625.75,2
128.38560122523631,1034540.4,2
128.40603556220594,1034624.0,2
128.4264698991101,1034612.25,2
128.4469042360215,1034552.2,2
128.46733857286745,1034569.56,2
128.4877728097199,1034562.0,2
128.50820724657387,1034687.6,2
128.52864158336888,1034490.44,2
128.54907582009764,1034676.4,2
128.5695102568352,1034585.75,2
128.58994459356472,1034567.5,2
128.61037883030076,1034669.4,2
128.63081316697935,1034584.0,2
128.6512476036005,1034651.2,2
128.6716819402136,1034599.9,2
128.69211617683322,1034572.56,2
128.71255061338888,1034677.6,2
128.73298494995106,1034593.75,2
128.75341918645427,1034618.75,2
128.77385352295823,1034689.1,2
128.81472219590069,1034691.75,2
128.83515653228096,1034575.94,2
128.85559086866851,1034577.94,2
128.87602520505607,1034614.56,2
128.8964595413854,1034504.7,2
128.91689387770748,1034545.0,2
128.93732821397862,1034531.4,2
128.95776255024248,1034629.56,2
128.97819688651362,1034535.2,2
128.99863112272578,1034519.44,2
129.01906555893947,1034431.06,2
129.0394998950287,1034515.7,2
129.05993413118267,1034495.56,2
129.1008029033692,1034362.06,2
129.1212372394075,1034423.8,2
129.14167147544504,1034543.25,2
129.16210591147683,1034528.5,2
129.18254024739872,1034561.9,2
129.20297448331985,1034573.1,2
129.22340891929343,1034637.9,2
129.24384325515712,1034503.5,2
129.26427749102004,1034610.2,2
129.28471182687645,1034503.5,2
129.30514626262448,1034473.3,2
129.3255804984874,1034455.3,2
129.3460148342274,1034543.2,2
